"Sub","slope","Type","N","corr","sd","se","ci"
"Sub52","0.5","Within",60,0.962367372627637,0.0943001731804373,0.012174100009077,0.0243603178505473
"Sub53","0.5","Between",720,0.0869039072157144,0.166880226959965,0.0062192588597179,0.0122100772196629
"Sub53","0.5","Within",60,0.879834239474917,0.185944166871326,0.0240052887205687,0.0480344717795323
"Sub54","0.5","Between",720,0.277177607577792,0.27670471317141,0.0103121758057642,0.0202455735854082
"Sub54","0.5","Within",60,0.891613889132349,0.223779775100327,0.0288898447393869,0.0578084457972008
"Sub55","0.5","Between",720,0.170525772031336,0.231959848282048,0.00864463314681996,0.0169717390189346
"Sub55","0.5","Within",60,0.884330614039783,0.204260489185922,0.0263699157635085,0.0527660795633575
"Sub56","0.5","Between",720,0.0798144264047583,0.215559900884459,0.0080334431933461,0.0157718088188695
"Sub56","0.5","Within",60,0.912143887491813,0.129733401129269,0.0167485100673501,0.0335136912346324
"Sub57","0.5","Between",720,0.178280169529298,0.25159634861011,0.00937644230638234,0.0184084771496125
"Sub57","0.5","Within",60,0.912547656314167,0.150109369385955,0.01937903625805,0.038777361984163
"Sub58","0.5","Between",720,0.194299828883042,0.234058628248586,0.00872285005806983,0.0171252998447156
"Sub58","0.5","Within",60,0.854767757438979,0.179693816893953,0.0231983720082242,0.0464198351676289
"Sub59","0.5","Between",720,0.0674338046636512,0.14067386370567,0.00524260536505696,0.0102926438315944
"Sub59","0.5","Within",60,0.918630334991625,0.18251955065873,0.0235631726686174,0.0471497996029991
"Sub6","0.005","Between",720,0.00700448797245466,0.120860037691722,0.0045041876673646,0.00884293136382967
"Sub6","0.005","Within",60,0.967008427535062,0.0288150535152424,0.0037200074128203,0.00744371763950752
"Sub60","0.5","Between",720,0.0846337623518939,0.15374027383882,0.00572956171971722,0.0112486700763803
"Sub60","0.5","Within",60,0.912178443202078,0.196022019670723,0.0253063339224884,0.0506378572152577
"Sub7","0.005","Between",720,0.0180011705043041,0.109554672437823,0.0040828615803949,0.0080157549795375
"Sub7","0.005","Within",60,0.973162873892687,0.0217255352774753,0.00280475454390345,0.00561230087902287
"Sub8","0.005","Between",720,0.00846784642275902,0.110765789099927,0.00412799723348069,0.00810436840148508
"Sub8","0.005","Within",60,0.96992989458204,0.0235025809090405,0.00303417014845354,0.00607136044338893
"Sub9","0.005","Between",720,0.0313809850734704,0.098589053709911,0.00367419709887898,0.00721343673088541
"Sub9","0.005","Within",60,0.96278241581278,0.0393336338945815,0.00507795030065113,0.0101609550817648
